Index,Geography,Place,Demonym,Suffix
532,City,Misrata,Misratan,n
533,City,Minot,Minotian,ian
534,City,Mississauga,Mississaugan,n
535,City,Monrovia,Monrovian,n
536,City,Montreal,Montrealer,er
537,City,Moose,Moose,
538,City,Moscow,Moscowite,ite
539,City,Mumbai,Mumbaikar,kar
540,City,Mymensingh,Mymensinghi,i
541,City,Mysore,Mysorean,an
542,City,Nagoya,Nagoyan,n
543,City,Nairobi,Nairobian,an
544,City,Nanaimo,Nanaimoite,ite
545,City,Napier,Napieran,an
546,City,Nelson,Nelson,
547,City,Netanya,Netanyan,n
548,City,New,New,
549,City,Nicosia,Nicosian,n
550,City,Norfolk,Norfolker,er
551,City,Northampton,Northamptonian,ian
552,City,Nuremberg,Nuremberger,er
553,City,Oakbank,Oakbankian,ian
554,City,Oakland,Oaklander,er
555,City,Oamaru,Oamaru,
556,City,Oaxaca,Oaxacan,n
557,City,Odesa,Odesan,n
558,City,Oklahoma,Oklahoma,
559,City,Omaha,Omahan,n
560,City,Omak,Omakian,ian
561,City,Ordu,Ordunite,nite
562,City,Osaka,Osakan,n
563,City,Oslo,Oslovian,vian
564,City,Ottawa,Ottawan,n
565,City,Paddock,Paddock,
566,City,Padua,Paduan,n
567,City,Paducah,Paducahan,an
568,City,Palmerston,Palmerstonian,ian
569,City,Paris,Parisian,ian
570,City,Penang,Penangite,ite
571,City,Perth,Perthite,ite
572,City,Perugia,Perugian,n
573,City,Philadelphia,Philadelphian,n
574,City,Phnom,Phnom,
575,City,Pissouri,Pissouriti,ti
576,City,Pisa,Pisan,n
577,City,Pittsburgh,Pittsburgher,er
578,City,Pohang,Pohang,
579,City,Port,Port,
580,City,Portland,Portlander,er
581,City,Portsmouth,Portsmouthian,ian
582,City,Prague,Praguer,r
583,City,Preston,Prestonian,ian
584,City,Pripyat,Pripyatin,in
585,City,Provo,Provoan,an
586,City,Quito,Quitonian,nian
587,City,Rajshahi,Rajshahiyo,yo
588,City,Radnor,Radnorian,ian
589,City,Raleigh,Raleighite,ite
590,City,Randall,Randallite,ite
591,City,Rangpur,Rangpuri,i
592,City,Reading,Readingite,ite
593,City,Red,Red,
594,City,Regina,Regina,
595,City,Reno,Renoite,ite
596,City,Ribeirao,Ribeirao,
597,City,Richmond,Richmonder,er
598,City,Riga,Rigan,n
599,City,Roanoke,Roanoker,r
600,City,Rochester,Rochesterian,ian
601,City,Rockhampton,Rockhampton,
602,City,Rotorua,Rotoruan,n
603,City,Rouen,Rouennais,nais
604,City,Rye,Ryer,r
605,City,Saint,Saint,
606,City,Salem,Salemite,ite
607,City,Salford,Salfordian,ian
608,City,Salt,Salt,
609,City,Salzburg,Salzburger,er
610,City,Sambalpur,Sambalpuria,ia
611,City,Samsun,Samsunite,ite
612,City,San,San,
613,City,Santa,Santa,
614,City,Saskatoon,Saskatoon,
615,City,Seattle,Seattleite,ite
616,City,Seoul,Seoulite,ite
617,City,Serra,Serrano,no
618,City,Shanghai,Shanghainese,nese
619,City,Side,Sidetan,tan
620,City,Silver,Silver,
621,City,Singapore,Singaporean,an
622,City,Sofia,Sofian,n
623,City,Somers,Somersite,ite
624,City,Sparta,Spartan,n
625,City,Springfield,Springfieldian,ian
626,City,St.,St.,
627,City,Stockholm,Stockholmer,er
628,City,Stuttgart,Stuttgarter,er
629,City,Sunshine,Sunshine,
630,City,Swindon,Swindonian,ian
631,City,Sylhet,Sylheti,i
632,City,Tacoma,Tacoman,n
633,City,Tallahassee,Tallahasseean,an
634,City,Tallinn,Tallinner,er
635,City,Tampa,Tampan,n
636,City,Tartu,Tartuan,an
637,City,Taunton,Tauntonian,ian
638,City,Tauranga,Taurangan,n
639,City,Tbilisi,Tbilisian,an
640,City,Tehran,Tehrani,i
641,City,Tel,Tel,
642,City,Timaru,Timaru,
643,City,Tirana,Tiranas,s
644,City,Toowoomba,Toowoomban,n
645,City,Toronto,Torontonian,nian
646,City,Tournai,Tournaisian,sian
647,City,Trabzon,Trabzonian,ian
648,City,Traverse,Traverse,
649,City,Trevor,Trevorite,ite
650,City,Tripoli,Tripolitan,tan
651,City,Tripoli,Tripolitano,tano
652,City,Tucson,Tucsonian,ian
653,City,Tulsa,Tulsan,n
654,City,Turin,Turinese,ese
655,City,Twin,Twin,
656,City,Ulsan,Ulsan,
657,City,Valencia,Valencian,n
658,City,Van,Vanian,ian
659,City,Vancouver,Vancouverite,ite
660,City,Veracruz,Veracruzano,ano
661,City,Victoria,Victorian,n
662,City,Villanova,Villanovan,n
663,City,Ville,Ville,
664,City,Vizag,Vizagite,ite
665,City,Waco,Wacoite,ite
666,City,Warangal,Warangalite,ite
667,City,Washington,Washingtonian,ian
668,City,Waterford,Waterfordian,ian
669,City,Wellington,Wellington,
670,City,Wheatland,Wheatlander,er
671,City,Whitehorse,Whitehorser,r
672,City,Wichita,Wichitan,n
673,City,Wilmot,Wilmotter,ter
674,City,Xanthi,Xanthian,an
675,City,Yellowknife,Yellowknifer,r
676,City,Yeosu,Yeosu,
677,City,Yerevan,Yerevantsi,tsi
678,City,Yogyakarta,Yogyakartan,n
679,City,Yokohama,Yokohaman,n
680,City,Zagreb,Zagrebian,ian
681,City,Zaragoza,Zaragozan,n
682,City,Zonguldak,Zonguldaki,i
683,City,Zintan,Zintani,i
684,City,Zurich,Zuricher,er
685,City,Zwolle,Zwollenaar,naar
686,Extra,Abkhazia,Abkhazian,n
687,Extra,Alaska,Alaskan,n
688,Extra,Alberta,Albertan,n
689,Extra,Andalusia,Andalusian,n
690,Extra,Arizona,Arizonan,n
691,Extra,Bavaria,Bavarian,n
692,Extra,Bohemia,Bohemian,n
693,Extra,British Columbia,British Columbian,n
694,Extra,California,Californian,n
695,Extra,Carinthia,Carinthian,n
696,Extra,Corsica,Corsican,n
697,Extra,Crimea,Crimean,n
698,Extra,Cumbria,Cumbrian,n
699,Extra,Dalmatia,Dalmatian,n
700,Extra,Delaware,Delawarean,an
701,Extra,Extremadura,Extremaduran,n
702,Extra,Florida,Floridan,n
703,Extra,Galicia,Galician,n
704,Extra,Georgia,Georgian,n
705,Extra,Idaho,Idahoan,an
706,Extra,Illinois,Illinoisan,an
707,Extra,Iowa,Iowan,n
708,Extra,Jakarta,Jakartan,n
709,Extra,Java,Javan,n
710,Extra,Johor,Johorean,ean
711,Extra,Judea,Judean,n
712,Extra,Karelia,Karelian,n
713,Extra,Kedah,Kedahan,an
714,Extra,Liguria,Ligurian,n
715,Extra,Louisiana,Louisianan,n
716,Extra,Madeira,Madeiran,n
717,Extra,Malacca,Malaccan,n
718,Extra,Majorca,Majorcan,n
719,Extra,Manitoba,Manitoban,n
720,Extra,Maryland,Marylander,er
721,Extra,Masuria,Masurian,n
722,Extra,Menorca,Menorcan,n
723,Extra,Minnesota,Minnesotan,n
724,Extra,Mississippi,Mississippian,an
725,Extra,Missouri,Missourian,an
726,Extra,Montana,Montanan,n
727,Extra,Moravia,Moravian,n
728,Extra,Nebraska,Nebraskan,n
729,Extra,Nevada,Nevadan,n
730,Extra,New Jersey,New Jerseyan,an
731,Extra,North Dakota,North Dakotan,n
732,Extra,Nova Scotia,Nova Scotian,n
733,Extra,Ohio,Ohioan,an
734,Extra,Oklahoma,Oklahoman,n
735,Extra,Oregon,Oregonian,ian
736,Extra,Papua,Papuan,n
737,Extra,Patagonia,Patagonian,n
738,Extra,Pennsylvania,Pennsylvanian,n
739,Extra,Pomerania,Pomeranian,n
740,Extra,Samogitia,Samogitian,n
741,Extra,Sabah,Sabahan,an
742,Extra,Sardinia,Sardinian,n
743,Extra,Saskatchewan,Saskatchewanian,ian
744,Extra,Silesia,Silesian,n
745,Extra,Slavonia,Slavonian,n
746,Extra,South Australia,South Australian,n
747,Extra,South Dakota,South Dakotan,n
748,Extra,Styria,Styrian,n
749,Extra,Sumatra,Sumatran,n
750,Extra,Sumba,Sumban,n
751,Extra,Sumbawa,Sumbawan,n
752,Extra,Syrmia,Syrmian,n
753,Extra,Tahiti,Tahitian,an
754,Extra,Taranaki,Taranakian,an
755,Extra,Tasmania,Tasmanian,n
756,Extra,Thuringia,Thuringian,n
757,Extra,Transnistria,Transnistrian,n
758,Extra,Transylvania,Transylvanian,n
759,Extra,Umbria,Umbrian,n
760,Extra,Utah,Utahn,n
761,Extra,Victoria,Victorian,n
762,Extra,Virginia,Virginian,n
763,Extra,Waikato,Waikatorian,rian
764,Extra,Wallachia,Wallachian,n
765,Extra,Western Australia,Western Australian,n
766,Extra,West Papua,West Papuan,n
767,Extra,Westphalia,Westphalian,n
768,Extra,Wisconsin,Wisconsinite,ite
769,Extra,Adelaide,Adelaidean,an
770,Extra,Alexandria,Alexandrian,n
771,Extra,Albuquerque,Albuquerquean,an
772,Extra,Atlanta,Atlantan,n
773,Extra,Baltimore,Baltimorean,an
774,Extra,Bristol,Bristolian,ian
775,Extra,Brockton,Brocktonian,ian
776,Extra,Canberra,Canberran,n
777,Extra,Charlotte,Charlottean,an
778,Extra,Chattanooga,Chattanoogan,n
779,Extra,Chicago,Chicagoan,an
780,Extra,Cincinnati,Cincinnatian,an
781,Extra,Coimbatore,Coimbatoreian,ian
782,Extra,Danu,Danuan,an
783,Extra,El Paso,El Pasoan,an
784,Extra,Hanoi,Hanoian,an
785,Extra,Hobart,Hobartian,ian
786,Extra,Istanbul,Istanbulite,ite
787,Extra,Izmir,Izmirian,ian
788,Extra,Kalamazoo,Kalamazooan,an
789,Extra,Kyiv,Kyivan,an
790,Extra,Madera,Maderan,n
791,Extra,Manila,Manilan,n
792,Extra,Mecca,Meccan,n
793,Extra,Medina,Medinan,n
794,Extra,Miami,Miamian,an
795,Extra,Milwaukee,Milwaukeean,an
796,Extra,Naypyidaw,Naypyidawan,an
797,Extra,Oklahoma City,Oklahoma Cityan,an
798,Extra,Ottawa,Ottawan,n
799,Extra,Philadelphia,Philadelphian,n
800,Extra,Pisa,Pisan,n
801,Extra,Pueblo,Puebloan,an
802,Extra,Regina,Reginan,n
803,Extra,Riga,Rigan,n
804,Extra,Salem,Salemian,ian
805,Extra,San Jose,San Josean,an
806,Extra,Sarasota,Sarasotan,n
807,Extra,Sioux City,Sioux Cityan,an
808,Extra,Sofia,Sofian,n
809,Extra,St. Louis,St. Louisan,an
810,Extra,Surabaya,Surabayan,n
811,Extra,Tucson,Tucsonian,ian
812,Extra,Tulsa,Tulsan,n
813,Extra,Utica,Utican,n
814,Extra,Valencia,Valencian,n
815,Extra,Aarhus,Aarhusian,ian
816,Extra,Banat,Banatian,ian
817,Extra,Ballarat,Ballaratian,ian
818,Extra,Banglore,Banglorean,an
819,Extra,Banten,Bantenian,ian
820,Extra,Blackburn,Blackburnian,ian
821,Extra,Bangkok,Bangkokian,ian
822,Extra,Boston,Bostonian,ian
823,Extra,Bracknell,Bracknellian,ian
824,Extra,Bradford,Bradfordian,ian
825,Extra,Brighton,Brightonian,ian
826,Extra,Catalonia,Catalonian,n
827,Extra,Chelmsford,Chelmsfordian,ian
828,Extra,Christchurch,Christchurchian,ian
829,Extra,Cirebon,Cirebonian,ian
830,Extra,Corinth,Corinthian,ian
831,Extra,Darwin,Darwinian,ian
832,Extra,Dayton,Daytonian,ian
833,Extra,Devon,Devonian,ian
834,Extra,Duluth,Duluthian,ian
835,Extra,Edmonton,Edmontonian,ian
836,Extra,Fort Worth,Fort Worthian,ian
837,Extra,Fredericton,Frederictonian,ian
838,Extra,Hamilton,Hamiltonian,ian
839,Extra,Hereford,Herefordian,ian
840,Extra,Houston,Houstonian,ian
841,Extra,Jessup,Jessupian,ian
842,Extra,Kingston,Kingstonian,ian
843,Extra,Lexington,Lexingtonian,ian
844,Extra,Madison,Madisonian,ian
845,Extra,Michigan,Michiganian,ian
846,Extra,Nelson,Nelsonian,ian
847,Extra,Paris,Parisian,ian
848,Extra,Perlis,Perlisian,ian
849,Extra,Perak,Perakian,ian
850,Extra,Harcourt,Harcourtian,ian
851,Extra,Saint Petersburg,Saint Petersburgian,ian
852,Extra,Sarawak,Sarawakian,ian
853,Extra,Savannah,Savannahian,ian
854,Extra,Swindon,Swindonian,ian
855,Extra,Telford,Telfordian,ian
856,Extra,Truro,Truronian,nian
857,Extra,Washington,Washingtonian,ian
858,Extra,Wellington,Wellingtonian,ian
859,Extra,Wilmington,Wilmingtonian,ian
860,Extra,Yukon,Yukonian,ian
861,Extra,Bendigo,Bendigonian,nian
862,Extra,Buffalo,Buffalonian,nian
863,Extra,Naga,Naganian,nian
864,Extra,Panama,Panamanian,nian
865,Extra,Sligo,Sligonian,nian
866,Extra,Tampa,Tampanian,nian
867,Extra,Tobago,Tobagonian,nian
868,Extra,Toronto,Torontonian,nian
869,Extra,Wa,Wanian,nian
870,Extra,Levant,Levantine,ine
871,Extra,Lucena,Lucenahin,hin
872,Extra,Tayabas,Tayabasin,in
873,Extra,Lucban,Lucbanin,in
874,Extra,Infanta,Infantahin,hin
875,Extra,Sariaya,Sariayahin,hin
876,Extra,Talim,Talimin,in
877,Extra,Isabang,Isabangin,in
878,Extra,Morong,Morongin,in
879,Extra,Bicol,Bicolano,ano
880,Extra,Cebu,Cebuano,ano
881,Extra,Tauranga,Taurangan,n
882,Extra,Akron,Akronite,ite
883,Extra,Ann Arbor,Ann Arborite,ite
884,Extra,Austin,Austinite,ite
885,Extra,Bagansiapiapi,Bagansiapiapite,te
886,Extra,Baku,Bakuvite,vite
887,Extra,Boulder,Boulderite,ite
888,Extra,Bronx,Bronxite,ite
889,Extra,Brooklyn,Brooklynite,ite
890,Extra,Chennai,Chennaiite,ite
891,Extra,Dallas,Dallasite,ite
892,Extra,Decatur,Decaturite,ite
893,Extra,Delhi,Delhite,te
894,Extra,Denver,Denverite,ite
895,Extra,Dhaka,Dhakaite,ite
896,Extra,Dubai,Dubaiite,ite
897,Extra,Dunedin,Dunedinite,ite
898,Extra,Durban,Durbanite,ite
899,Extra,Gaya,Gayaite,ite
900,Extra,Guelph,Guelphite,ite
901,Extra,Israel,Israelite,ite
902,Extra,Jerusalem,Jerusalemite,ite
903,Extra,Karachi,Karachiite,ite
904,Extra,Kweyol,Kweyolite,ite
905,Extra,Labuan Bajo,Labuan Bajoite,ite
906,Extra,Leicester,Leicesterite,ite
907,Extra,Manhattan,Manhattanite,ite
908,Extra,Mumbai,Mumbaiite,ite
909,Extra,Oban,Obanite,ite
910,Extra,Pahang,Pahangite,ite
911,Extra,Patna,Patnaite,ite
912,Extra,Penang,Penangite,ite
913,Extra,Perth,Perthite,ite
914,Extra,Pullman,Pullmanite,ite
915,Extra,Putney,Putneyite,ite
916,Extra,Queens,Queensite,ite
917,Extra,Reading,Readingite,ite
918,Extra,Salem,Salemite,ite
919,Extra,Seattle,Seattleite,ite
920,Extra,Seoul,Seoulite,ite
921,Extra,Shillong,Shillongite,ite
922,Extra,Sydney,Sydneyite,ite
923,Extra,Tokyo,Tokyoite,ite
924,Extra,Vancouver,Vancouverite,ite
925,Extra,Vizag,Vizagite,ite
926,Extra,Warangal,Warangalite,ite
927,Extra,Winston-Salem,Winston-Salemite,ite
928,Extra,Wrexham,Wrexhamite,ite
929,Extra,Wyoming,Wyomingite,ite
930,Extra,Yangon,Yangonite,ite
931,Extra,Amsterdam,Amsterdammer,mer
932,Extra,Auckland,Aucklander,er
933,Extra,Beijing,Beijinger,er
934,Extra,Belgrade,Belgrader,r
935,Extra,Bergen,Bergener,er
936,Extra,Berlin,Berliner,er
937,Extra,Bucharest,Bucharester,er
938,Extra,Budapest,Budapester,er
939,Extra,Cleveland,Clevelander,er
940,Extra,Copenhagen,Copenhagener,er
941,Extra,Detroit,Detroiter,er
942,Extra,Dublin,Dubliner,er
943,Extra,Dresden,Dresdener,er
944,Extra,Fife,Fifer,r
945,Extra,Frankfurt,Frankfurter,er
946,Extra,Greenland,Greenlander,er
947,Extra,Hamburg,Hamburger,er
948,Extra,Hannover,Hannoveraner,aner
949,Extra,Iceland,Icelander,er
950,Extra,Leipzig,Leipziger,er
951,Extra,Liechtenstein,Liechtensteiner,er
952,Extra,London,Londoner,er
953,Extra,Lorraine,Lorrainer,r
954,Extra,Luxembourg,Luxembourger,er
955,Extra,Maine,Mainer,r
956,Extra,Michigan,Michigander,der
957,Extra,Montreal,Montrealer,er
958,Extra,New Brunswick,New Brunswicker,er
959,Extra,New England,New Englander,er
960,Extra,New York,New Yorker,er
961,Extra,New Zealand,New Zealander,er
962,Extra,Newfoundland,Newfoundlander,er
963,Extra,Oakland,Oaklander,er
964,Extra,Pittsburgh,Pittsburgher,er
965,Extra,Prague,Praguer,r
966,Extra,Prince Edward Island,Prince Edward Islander,er
967,Extra,Puntland,Puntlander,er
968,Extra,Quebec,Quebecker,ker
969,Extra,Queensland,Queenslander,er
970,Extra,Rhineland,Rhinelander,er
971,Extra,Rhode Island,Rhode Islander,er
972,Extra,Rotterdam,Rotterdammer,mer
973,Extra,Saigon,Saigoner,er
974,Extra,Stockholm,Stockholmer,er
975,Extra,Stuttgart,Stuttgarter,er
976,Extra,Tallinn,Tallinner,er
977,Extra,Vermont,Vermonter,er
978,Extra,Winnipeg,Winnipegger,ger
979,Extra,Yellowknife,Yellowknifer,r
980,Extra,Yukon,Yukoner,er
981,Extra,Zurich,Zuricher,er
982,Extra,Niger,Nigerish,ish
983,Extra,Savoy,Savoyard,ard
984,Extra,Ajman,Ajmanese,ese
985,Extra,Aragon,Aragonese,ese
986,Extra,Aceh,Acehnese,nese
987,Extra,Assam,Assamese,ese
988,Extra,Bali,Balinese,nese
989,Extra,Bengal,Bengalese,ese
990,Extra,Benin,Beninese,ese
991,Extra,Bergen,Bergenese,ese
992,Extra,Bern,Bernese,ese
993,Extra,Bearn,Bearnese,ese
994,Extra,Bhutan,Bhutanese,ese
995,Extra,Congo,Congolese,lese
996,Extra,East Timor,East Timorese,ese
997,Extra,Fujairah,Fujairahnese,nese
998,Extra,Gabon,Gabonese,ese
999,Extra,Grenadines,Grenadinese,e
1000,Extra,Hainan,Hainanese,ese
1001,Extra,Hunan,Hunanese,ese
1002,Extra,Japan,Japanese,ese
1003,Extra,Java,Javanese,nese
1004,Extra,Kawthaung,Kawthaunggese,gese
1005,Extra,Kelantan,Kelantanese,ese
1006,Extra,Kokang,Kokanggese,gese
1007,Extra,Leon,Leonese,ese
1008,Extra,London,Londonese,ese
1009,Extra,Milan,Milanese,ese
1010,Extra,Navarre,Navarrese,se
1011,Extra,Negeri Sembilan,Negeri Sembilanese,ese
1012,Extra,Pahang,Pahangese,ese
1013,Extra,Piedmont,Piedmontese,ese
1014,Extra,Pittsburgh,Pittsburghese,ese
1015,Extra,Khaimah,Khaimahnese,nese
1016,Extra,Saba,Sabanese,nese
1017,Extra,Sark,Sarkese,ese
1018,Extra,Senegal,Senegalese,ese
1019,Extra,Shanghai,Shanghaiese,ese
1020,Extra,Sharjah,Sharjahnese,nese
1021,Extra,Siam,Siamese,ese
1022,Extra,Sikkim,Sikkimese,ese
1023,Extra,Sudan,Sudanese,ese
1024,Extra,Suriname,Surinamese,se
1025,Extra,Swindon,Swindonese,ese
1026,Extra,Taiwan,Taiwanese,ese
1027,Extra,Togo,Togolese,lese
1028,Extra,Quwain,Quwainese,ese
1029,Extra,Vietnam,Vietnamese,ese
1030,Extra,Azawad,Azawadi,i
1031,Extra,Azra,Azragi,gi
1032,Extra,Balochistan,Balochistani,i
1033,Extra,Barisal,Barisali,i
1034,Extra,Beirut,Beiruti,i
1035,Extra,Bengal,Bengali,i
1036,Extra,Bharat,Bharatiya,iya
1037,Extra,Bihar,Bihari,i
1038,Extra,Dagestan,Dagestani,i
1039,Extra,Dhaka,Dhakaiya,iya
1040,Extra,Faridabad,Faridabadi,i
1041,Extra,Gujarat,Gujarati,i
1042,Extra,Hazara,Hazaragi,gi
1043,Extra,Hyderabad,Hyderabadi,i
1044,Extra,Kumaon,Kumaoni,i
1045,Extra,Punjab,Punjabi,i
1046,Extra,Rajasthan,Rajasthani,i
1047,Extra,Rangpur,Rangpuri,i
1048,Extra,Sindh,Sindhi,i
1049,Extra,Sylhet,Sylheti,i
1050,Extra,Tel Aviv,Tel Avivi,i
1051,Extra,Lesotho,Lesothonian,nian
1052,Extra,Oamaru,Oamaruvian,vian
1053,Extra,Oslo,Oslovian,vian
1054,Extra,Peru,Peruvian,vian
1055,Extra,Benin,Beninoi,oi
1056,Extra,Gabon,Gabonai,ai
1057,Extra,Quebec,Quebecoi,oi
1058,Extra,Tripoli,Tripolitan,tan